role,id_film,id_actor,id_serie
role0,1,295,NULL
role1,1,297,NULL
role2,1,118,NULL
role3,1,461,NULL
role4,1,410,NULL
role5,1,67,NULL
role6,1,16,NULL
role7,1,420,NULL
role8,1,352,NULL
role9,1,471,NULL
role10,1,114,NULL
role11,1,60,NULL
role12,1,48,NULL
role13,1,396,NULL
role0,2,157,NULL
role1,2,258,NULL
role2,2,73,NULL
role3,2,207,NULL
role4,2,14,NULL
role5,2,380,NULL
role6,2,328,NULL
role7,2,494,NULL
role8,2,470,NULL
role9,2,93,NULL
role10,2,466,NULL
role11,2,455,NULL
role12,2,469,NULL
role13,2,374,NULL
role14,2,68,NULL
role15,2,255,NULL
role16,2,367,NULL
role17,2,403,NULL
role18,2,132,NULL
role19,2,300,NULL
role20,2,468,NULL
role21,2,274,NULL
role0,3,465,NULL
role1,3,46,NULL
role2,3,158,NULL
role3,3,295,NULL
role4,3,109,NULL
role5,3,379,NULL
role6,3,425,NULL
role7,3,483,NULL
role8,3,259,NULL
role9,3,343,NULL
role10,3,248,NULL
role11,3,473,NULL
role12,3,77,NULL
role13,3,60,NULL
role14,3,7,NULL
role15,3,85,NULL
role16,3,127,NULL
role0,4,63,NULL
role1,4,421,NULL
role2,4,51,NULL
role3,4,414,NULL
role4,4,479,NULL
role5,4,423,NULL
role6,4,256,NULL
role7,4,500,NULL
role8,4,336,NULL
role9,4,339,NULL
role10,4,167,NULL
role11,4,362,NULL
role12,4,487,NULL
role13,4,375,NULL
role14,4,311,NULL
role15,4,79,NULL
role16,4,23,NULL
role17,4,178,NULL
role18,4,230,NULL
role0,5,151,NULL
role1,5,191,NULL
role2,5,277,NULL
role3,5,373,NULL
role4,5,155,NULL
role5,5,79,NULL
role6,5,1,NULL
role7,5,104,NULL
role8,5,51,NULL
role9,5,250,NULL
role10,5,421,NULL
role11,5,410,NULL
role12,5,153,NULL
role13,5,427,NULL
role14,5,488,NULL
role15,5,170,NULL
role16,5,438,NULL
role17,5,241,NULL
role0,6,230,NULL
role1,6,19,NULL
role2,6,12,NULL
role3,6,54,NULL
role4,6,1,NULL
role5,6,83,NULL
role6,6,269,NULL
role7,6,234,NULL
role8,6,284,NULL
role9,6,190,NULL
role10,6,139,NULL
role11,6,88,NULL
role12,6,451,NULL
role13,6,240,NULL
role14,6,451,NULL
role15,6,48,NULL
role16,6,388,NULL
role17,6,213,NULL
role18,6,492,NULL
role19,6,205,NULL
role20,6,227,NULL
role21,6,184,NULL
role22,6,285,NULL
role0,7,155,NULL
role1,7,171,NULL
role2,7,150,NULL
role3,7,286,NULL
role4,7,80,NULL
role5,7,410,NULL
role6,7,489,NULL
role7,7,352,NULL
role8,7,17,NULL
role9,7,369,NULL
role10,7,308,NULL
role11,7,99,NULL
role12,7,297,NULL
role13,7,335,NULL
role0,8,153,NULL
role1,8,199,NULL
role2,8,304,NULL
role3,8,138,NULL
role4,8,309,NULL
role5,8,38,NULL
role6,8,259,NULL
role7,8,461,NULL
role8,8,457,NULL
role9,8,95,NULL
role10,8,369,NULL
role11,8,22,NULL
role12,8,115,NULL
role0,9,362,NULL
role1,9,335,NULL
role2,9,103,NULL
role3,9,147,NULL
role4,9,336,NULL
role5,9,211,NULL
role6,9,352,NULL
role7,9,284,NULL
role8,9,79,NULL
role9,9,118,NULL
role10,9,290,NULL
role11,9,357,NULL
role12,9,272,NULL
role13,9,359,NULL
role14,9,297,NULL
role15,9,398,NULL
role16,9,369,NULL
role0,10,415,NULL
role1,10,251,NULL
role2,10,437,NULL
role3,10,421,NULL
role4,10,381,NULL
role5,10,478,NULL
role6,10,119,NULL
role7,10,214,NULL
role8,10,119,NULL
role9,10,438,NULL
role10,10,45,NULL
role11,10,116,NULL
role12,10,280,NULL
role13,10,257,NULL
role14,10,315,NULL
role15,10,124,NULL
role16,10,238,NULL
role17,10,134,NULL
role18,10,313,NULL
role19,10,210,NULL
role20,10,252,NULL
role21,10,15,NULL
role0,11,25,NULL
role1,11,34,NULL
role2,11,61,NULL
role3,11,406,NULL
role4,11,220,NULL
role5,11,473,NULL
role6,11,14,NULL
role7,11,255,NULL
role8,11,480,NULL
role9,11,6,NULL
role10,11,323,NULL
role11,11,229,NULL
role12,11,181,NULL
role13,11,279,NULL
role0,12,68,NULL
role1,12,333,NULL
role2,12,333,NULL
role3,12,476,NULL
role4,12,188,NULL
role5,12,223,NULL
role6,12,216,NULL
role7,12,408,NULL
role8,12,400,NULL
role9,12,482,NULL
role10,12,414,NULL
role11,12,66,NULL
role12,12,398,NULL
role13,12,416,NULL
role14,12,500,NULL
role15,12,312,NULL
role16,12,428,NULL
role0,13,479,NULL
role1,13,83,NULL
role2,13,308,NULL
role3,13,74,NULL
role4,13,427,NULL
role5,13,139,NULL
role6,13,154,NULL
role7,13,117,NULL
role8,13,119,NULL
role9,13,158,NULL
role10,13,122,NULL
role11,13,236,NULL
role0,14,439,NULL
role1,14,208,NULL
role2,14,4,NULL
role3,14,376,NULL
role4,14,83,NULL
role5,14,224,NULL
role6,14,261,NULL
role7,14,393,NULL
role8,14,419,NULL
